"instance","run","seed","repetitions","pool_size","iterations","patience","initial_patience","generated_best","ma_cetsp","final","lei_hao","improvement_vs_lei_hao_percent","seed_ms","ma_ms","socp_ms","ma_best_time","ma_total_time","ma_valid","final_valid"
"bubbles5.txt","12","123456800","1000","20","5000","500","1500","1061.8589274945","1044.8752508584","1044.8752508157","1035.32","-0.9229272896978705","20388","272163","195","121.882113","272.079","true","true"
"bubbles5.txt","13","123456801","1000","20","5000","500","1500","1061.8589274945","1038.7241898809","1038.7241898793","1035.32","-0.3288055750202855","20677","607694","286","446.650731","607.52","true","true"
"bubbles5.txt","14","123456802","1000","20","5000","500","1500","1065.9615139296","1036.7838432149","1036.6107609426","1035.32","-0.1246726560483882","20348","450169","218","291.556685","450.034","true","true"
"bubbles5.txt","15","123456803","1000","20","5000","500","1500","1061.8589274945","1035.8843007364","1035.8843007288","1035.32","-0.054504957771525975","20324","642800","250","477.880156","642.64","true","true"
"bubbles5.txt","16","123456804","1000","20","5000","500","1500","1061.8589274945","1040.3366870111","1040.3276750085","1035.32","-0.48368378940810314","20279","393755","265","237.0986","393.626","true","true"
"bubbles5.txt","17","123456805","1000","20","5000","500","1500","1065.9615139296","1036.1738198468","1036.1727745466","1035.32","-0.08236820950045692","19986","807188","195","648.686252","806.974","true","true"
"bubbles5.txt","18","123456806","1000","20","5000","500","1500","1057.6202958514","1041.0717018866","1040.8186612706","1035.32","-0.5311074132248963","18790","399366","166","251.782802","399.246","true","true"
"bubbles5.txt","19","123456807","1000","20","5000","500","1500","1061.8589274945","1042.2154927166","1042.180015982","1035.32","-0.6625986151141725","18483","354926","161","205.635247","354.813","true","true"
"bubbles5.txt","20","123456808","1000","20","5000","500","1500","1057.6202958514","1036.2592808991","1036.2359262485","1035.32","-0.0884679373044083","18335","504602","170","350.981316","504.461","true","true"
"bubbles6.txt","1","123456789","1000","20","5000","500","1500","1298.8207759676","1228.9353730681","1228.8261712252","1220.07","-0.7176777746522722","36672","965223","221","746.11683","965.046","true","true"
"bubbles6.txt","2","123456790","1000","20","5000","500","1500","1292.5215918101","1235.652469479","1235.6524694763","1220.07","-1.2771783156950052","38442","781090","274","544.213759","780.904","true","true"
"bubbles6.txt","3","123456791","1000","20","5000","500","1500","1294.73683814","1230.4989316908","1230.4010797394","1220.07","-0.8467612300441891","34622","847871","220","632.925842","847.726","true","true"
"bubbles6.txt","4","123456792","1000","20","5000","500","1500","1294.73683814","1228.9132082585","1228.9132081582","1220.07","-0.7248115401739256","32318","761744","260","555.595104","761.581","true","true"
"bubbles6.txt","5","123456793","1000","20","5000","500","1500","1296.690592424","1230.1527052802","1229.9262547301","1220.07","-0.8078433803060555","32419","729861","207","515.622998","729.7","true","true"
